"filename", "language", "JSON", "Markdown", "HTML", "JavaScript", "XML", "CSS", "comment", "blank", "total"
"c:\Users\Justi\OneDrive\Desktop\Programming\Full Stack Path\Projects\_PORTFOLIO-PROJECTS\budget-app\README.md", "Markdown", 0, 42, 0, 0, 0, 0, 0, 33, 75
"c:\Users\Justi\OneDrive\Desktop\Programming\Full Stack Path\Projects\_PORTFOLIO-PROJECTS\budget-app\package-lock.json", "JSON", 28618, 0, 0, 0, 0, 0, 0, 1, 28619
"c:\Users\Justi\OneDrive\Desktop\Programming\Full Stack Path\Projects\_PORTFOLIO-PROJECTS\budget-app\package.json", "JSON", 38, 0, 0, 0, 0, 0, 0, 1, 39
"c:\Users\Justi\OneDrive\Desktop\Programming\Full Stack Path\Projects\_PORTFOLIO-PROJECTS\budget-app\public\index.html", "HTML", 0, 0, 20, 0, 0, 0, 23, 1, 44
"c:\Users\Justi\OneDrive\Desktop\Programming\Full Stack Path\Projects\_PORTFOLIO-PROJECTS\budget-app\public\manifest.json", "JSON", 25, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Users\Justi\OneDrive\Desktop\Programming\Full Stack Path\Projects\_PORTFOLIO-PROJECTS\budget-app\src\App.test.js", "JavaScript", 0, 0, 0, 7, 0, 0, 0, 2, 9
"c:\Users\Justi\OneDrive\Desktop\Programming\Full Stack Path\Projects\_PORTFOLIO-PROJECTS\budget-app\src\App\App.css", "CSS", 0, 0, 0, 0, 0, 6, 0, 1, 7
"c:\Users\Justi\OneDrive\Desktop\Programming\Full Stack Path\Projects\_PORTFOLIO-PROJECTS\budget-app\src\App\App.js", "JavaScript", 0, 0, 0, 59, 0, 0, 0, 6, 65
"c:\Users\Justi\OneDrive\Desktop\Programming\Full Stack Path\Projects\_PORTFOLIO-PROJECTS\budget-app\src\components\ExpenseChart\ChartBar\ChartBar.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Justi\OneDrive\Desktop\Programming\Full Stack Path\Projects\_PORTFOLIO-PROJECTS\budget-app\src\components\ExpenseChart\ChartBar\ChartBar.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Justi\OneDrive\Desktop\Programming\Full Stack Path\Projects\_PORTFOLIO-PROJECTS\budget-app\src\components\ExpenseChart\Chart\Chart.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Justi\OneDrive\Desktop\Programming\Full Stack Path\Projects\_PORTFOLIO-PROJECTS\budget-app\src\components\ExpenseChart\Chart\Chart.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Justi\OneDrive\Desktop\Programming\Full Stack Path\Projects\_PORTFOLIO-PROJECTS\budget-app\src\components\Expenses\ExpenseItemDate\ExpenseItemDate.css", "CSS", 0, 0, 0, 0, 0, 22, 0, 4, 26
"c:\Users\Justi\OneDrive\Desktop\Programming\Full Stack Path\Projects\_PORTFOLIO-PROJECTS\budget-app\src\components\Expenses\ExpenseItemDate\ExpenseItemDate.js", "JavaScript", 0, 0, 0, 14, 0, 0, 0, 4, 18
"c:\Users\Justi\OneDrive\Desktop\Programming\Full Stack Path\Projects\_PORTFOLIO-PROJECTS\budget-app\src\components\Expenses\ExpenseItem\ExpenseItem.css", "CSS", 0, 0, 0, 0, 0, 71, 0, 11, 82
"c:\Users\Justi\OneDrive\Desktop\Programming\Full Stack Path\Projects\_PORTFOLIO-PROJECTS\budget-app\src\components\Expenses\ExpenseItem\ExpenseItem.js", "JavaScript", 0, 0, 0, 41, 0, 0, 0, 4, 45
